sensor_id;sensor_type;location;lat;lon;timestamp;temperature;humidity
5588;DHT22;2816;49.778;9.986;2025-06-01T00:00:07;17.30;99.90
54202;DHT22;40108;53.152;5.844;2025-06-01T00:00:07;17.70;91.90
13711;DHT22;6927;51.256;9.410;2025-06-01T00:00:07;18.20;99.90
18624;DHT22;9441;51.420;7.036;2025-06-01T00:00:07;18.30;99.90
31639;DHT22;18248;51.522;7.020;2025-06-01T00:00:07;18.50;77.00
61402;DHT22;47270;52.92065715;6.10009968;2025-06-01T00:00:07;18.60;99.90
83434;DHT22;73364;50.94893182;6.95608646;2025-06-01T00:00:07;19.00;99.90
18240;DHT22;9244;50.828;4.718;2025-06-01T00:00:07;19.20;99.90
28761;DHT22;15917;50.014;8.352;2025-06-01T00:00:07;19.20;99.90
52925;DHT22;38797;53.20545560;5.84539670;2025-06-01T00:00:07;19.50;82.40
90588;DHT22;82655;51.26243542;5.78936040;2025-06-01T00:00:07;19.70;81.00
44783;DHT22;81822;51.486;5.468;2025-06-01T00:00:07;19.70;99.90
75719;DHT22;64340;48.534;-3.036;2025-06-01T00:00:07;20.00;65.70
72206;DHT22;60111;48.286;7.812;2025-06-01T00:00:07;20.10;75.30
54096;DHT22;40013;52.79450690;6.94614083;2025-06-01T00:00:07;20.30;99.90
64374;DHT22;50698;52.83391012;6.68715477;2025-06-01T00:00:07;20.30;99.90
16955;DHT22;8594;52.052;8.354;2025-06-01T00:00:07;20.80;99.90
46764;DHT22;32517;52.37290714;4.96495664;2025-06-01T00:00:07;20.90;98.50
30628;DHT22;17394;50.890;4.724;2025-06-01T00:00:07;21.00;99.90
18753;DHT22;9505;50.882;5.350;2025-06-01T00:00:07;21.10;99.90
59695;DHT22;45559;50.77403375;4.98628825;2025-06-01T00:00:07;21.40;99.90
14475;DHT22;7323;50.848;4.334;2025-06-01T00:00:07;21.50;1.00
22787;DHT22;63134;52.020;4.714;2025-06-01T00:00:07;21.70;99.90
24450;DHT22;13349;50.984;5.822;2025-06-01T00:00:07;21.70;99.90
85816;DHT22;82649;51.220;4.442;2025-06-01T00:00:07;22.20;57.90
47590;DHT22;33316;52.298;9.056;2025-06-01T00:00:07;22.20;82.80
29849;DHT22;16728;50.832;5.590;2025-06-01T00:00:07;22.30;99.90
13369;DHT22;6753;52.520;13.450;2025-06-01T00:00:07;22.80;59.90
27492;DHT22;14927;51.210;6.838;2025-06-01T00:00:07;23.00;64.40
73137;DHT22;67767;45.636;11.756;2025-06-01T00:00:07;23.30;85.10
25410;DHT22;13339;50.840;4.346;2025-06-01T00:00:07;23.40;99.90
3350;DHT22;1688;51.000;13.684;2025-06-01T00:00:07;23.60;99.90
18575;DHT22;9417;16.484;102.872;2025-06-01T00:00:07;26.80;99.90
18085;DHT22;9169;44.492;11.372;2025-06-01T00:00:07;26.90;47.10
32400;DHT22;45045;45.440;9.178;2025-06-01T00:00:07;28.60;96.10
14301;DHT22;7234;59.306;18.024;2025-06-01T00:00:08;13.50;99.90
23149;DHT22;11743;51.228;22.498;2025-06-01T00:00:08;13.50;99.90
13375;DHT22;6756;51.354;15.754;2025-06-01T00:00:08;14.20;99.90
11736;DHT22;5924;51.398;7.088;2025-06-01T00:00:08;15.40;99.90
30250;DHT22;17064;47.974;13.826;2025-06-01T00:00:08;15.50;99.90
13992;DHT22;7070;53.586;9.692;2025-06-01T00:00:08;16.60;83.80
12152;DHT22;6139;51.274;7.128;2025-06-01T00:00:08;16.60;99.90
21255;DHT22;10785;50.674;17.954;2025-06-01T00:00:08;16.70;99.90
6106;DHT22;3083;51.508;7.966;2025-06-01T00:00:08;17.10;99.90
72128;DHT22;60000;51.030;7.024;2025-06-01T00:00:08;17.72;90.04
52799;DHT22;38667;42.872;74.622;2025-06-01T00:00:08;18.10;41.60
18444;DHT22;9350;53.176;8.194;2025-06-01T00:00:08;18.30;99.90
26182;DHT22;13927;51.534;11.866;2025-06-01T00:00:08;18.70;99.90
61912;DHT22;49973;52.084;5.412;2025-06-01T00:00:08;19.20;99.00
68760;DHT22;55748;50.99895415;4.31060761;2025-06-01T00:00:08;19.57;83.24
51327;DHT22;37412;52.836;6.362;2025-06-01T00:00:08;19.70;99.90
7666;DHT22;3875;46.562;4.898;2025-06-01T00:00:08;19.90;90.30
85645;DHT22;76069;51.18683550;4.44454074;2025-06-01T00:00:08;20.20;51.40
60848;DHT22;46681;47.696;9.140;2025-06-01T00:00:08;20.20;60.50
16408;DHT22;8313;49.894;8.084;2025-06-01T00:00:08;20.60;99.90
13982;DHT22;7065;50.880;5.502;2025-06-01T00:00:08;20.70;99.90
26621;DHT22;14253;44.840;10.444;2025-06-01T00:00:08;21.10;97.50
53021;DHT22;38911;53.25434017;6.59472115;2025-06-01T00:00:08;21.30;91.20
62286;DHT22;48280;52.99956383;6.51265562;2025-06-01T00:00:08;21.30;99.90
26334;DHT22;14045;50.92166250;4.60000000;2025-06-01T00:00:08;21.40;99.90
21487;DHT22;10905;50.822;4.336;2025-06-01T00:00:08;21.90;99.90
19880;DHT22;10102;50.828;4.416;2025-06-01T00:00:08;22.10;99.90
13606;DHT22;6874;52.084;5.090;2025-06-01T00:00:08;22.40;98.40
93940;DHT22;86629;47.520;-2.556;2025-06-01T00:00:08;22.80;68.90
921;DHT22;447;51.332;6.778;2025-06-01T00:00:08;24.30;90.10
84202;DHT22;74340;52.20198245;20.95142709;2025-06-01T00:00:08;28.20;56.00
62482;DHT22;48528;59.62643383;14.28468883;2025-06-01T00:00:08;7.00;80.60
57476;DHT22;60992;50.87527154;0.00964344;2025-06-01T00:00:09;14.70;1.00
8332;DHT22;4203;48.144;14.118;2025-06-01T00:00:09;15.00;1.00
46730;DHT22;32476;50.002;11.854;2025-06-01T00:00:09;15.30;99.90
62178;DHT22;48164;45.63749218;11.71378076;2025-06-01T00:00:09;15.40;77.00
8261;DHT22;64115;50.170;8.242;2025-06-01T00:00:09;15.70;99.90
